id,name,band,universe,album,garments,collections,campaigns,commercialPriority,visibilityTier,legacyCategory
"7102","Slayer Angel Of Death","Slayer","Thrash Metal","Reign in Blood","remera; hoodie","Slayer Archive FMD; Reign in Blood","-","86","featured","Slayer"
"7103","Slayer South Of Heaven","Slayer","Thrash Metal","South of Heaven","remera; hoodie","Slayer Archive FMD; South of Heaven","-","85","featured","Slayer"
"7105","Slayer Hell Awaits","Slayer","Thrash Metal","Hell Awaits","remera; hoodie; buzo_cuello_redondo","Slayer Archive FMD; Hell Awaits","-","82","featured","Slayer"
"7106","Slayer Aguila","Slayer","Thrash Metal","-","remera; hoodie; buzo_cuello_redondo","Slayer Archive FMD","-","68","catalog","Slayer"
"7108","Slayer Show No Mercy V2","Slayer","Thrash Metal","Show No Mercy","remera; hoodie; buzo_cuello_redondo","Slayer Archive FMD; Show No Mercy","-","84","featured","Slayer"
"7109","Slayer Show No Mercy FMD","Slayer","Thrash Metal; FMD Editions","Show No Mercy","remera; hoodie","Slayer Archive FMD; Show No Mercy; Originales FMD; FMD Editions","-","81","featured","Slayer"
"7110","Slayer Nation","Slayer","Thrash Metal","-","remera","Slayer Archive FMD","-","68","catalog","Slayer"
"7111","Slayer Demonic Admat","Slayer","Thrash Metal","-","remera","Slayer Archive FMD","-","68","catalog","Slayer"
"7112","Slayer God Hates Us All","Slayer","Thrash Metal","God Hates Us All","remera","Slayer Archive FMD; God Hates Us All","-","80","featured","Slayer"
"7114","Slayer Seasons V1","Slayer","Thrash Metal","Seasons in the Abyss","remera","Slayer Archive FMD; Seasons in the Abyss","-","82","featured","Slayer"
"7115","Slayer God Hates Us All V2","Slayer","Thrash Metal","God Hates Us All","remera","Slayer Archive FMD; God Hates Us All","-","68","catalog","Slayer"
"7116","Slayer Skull","Slayer","Thrash Metal","-","remera","Slayer Archive FMD","-","68","catalog","Slayer"
"7117","Slayer Live Undead","Slayer","Thrash Metal","Live Undead","remera","Slayer Archive FMD; Live Undead","-","78","featured","Slayer"
"7118","Slayer Divine Intervention","Slayer","Thrash Metal","Divine Intervention","remera","Slayer Archive FMD; Divine Intervention","-","79","featured","Slayer"
"7119","Slayer Band","Slayer","Thrash Metal","-","remera","Slayer Archive FMD","-","68","catalog","Slayer"
"7121","Slayer Diabolus In Musica","Slayer","Thrash Metal","Diabolus in Musica","remera","Slayer Archive FMD; Diabolus in Musica","-","83","featured","Slayer"
"307","Iron Maiden - Live After Death","Iron Maiden","Heavy Metal Classics","Live After Death","remera","Archivo Maiden; Live After Death","-","82","featured","Iron Maiden"
"308","Iron Maiden","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden","-","68","catalog","Iron Maiden"
"7034","Iron Maiden - Eddie v1","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden; Eddie","-","68","catalog","Iron Maiden"
"408","Iron Maiden - Eddie v2","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden; Eddie","-","68","catalog","Iron Maiden"
"409","Iron Maiden - Eddie v3","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden; Eddie","-","68","catalog","Iron Maiden"
"5125","Iron Maiden - Eddie v4","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden; Eddie","-","68","catalog","Iron Maiden"
"5032","Iron Maiden Book","Iron Maiden","Heavy Metal Classics","The Book of Souls","remera","Archivo Maiden; The Book of Souls","-","68","catalog","Iron Maiden"
"5033","Iron Maiden Can I","Iron Maiden","Heavy Metal Classics","Seventh Son of a Seventh Son","remera","Archivo Maiden; Seventh Son of a Seventh Son","-","68","catalog","Iron Maiden"
